NOMGARE,VENDARGUES,MONTPELLIER EST,MONTPELLIER SUD,MONTPELLIER OUEST,ST JEAN DE VEDAS,SETE,AGDE,BEZIERS CABRIALS (SORTIE),BEZIERS OUEST,NARBONNE EST,NARBONNE SUD,SIGEAN,LEUCATE,PERPIGNAN NORD,PERPIGNAN SUD,BOULOU (FERMe),FRONTIERE ESPAGNOLE,LEZIGNAN,CARCASSONNE EST,CARCASSONNE OUEST,BRAM,CASTELNAUDARY,VILLEFRANCHE DE LAURAGAIS,NAILLOUX,MAZERES,PAMIER NORD,PAMIER SUD,MONTGISCARD,LE PALAYS,MONTAUDRAN,LASBORDES,SOUPETARD,LA ROSERAIE,LA CROIX DAURADE,BORDEROUGE,LES IZARDS,SESQUIERES
VENDARGUES,0.0,0.0,0.0,0.0,0.0,0.027586206896551727,0.060000000000000005,0.06619718309859156,0.05544554455445544,0.07924528301886793,0.07391304347826087,0.075177304964539,0.07516339869281045,0.09371069182389938,0.09212121212121212,0.08300970873786409,0.09494949494949495,0.08709677419354839,0.09735099337748344,0.09320987654320988,0.09608938547486033,0.09481865284974093,0.0935483870967742,0.08167330677290836,0.08239700374531835,0.09115384615384615,0.09186046511627907,0.09257641921397379,0.09793388429752066,0.1,0.09878048780487805,0.09642857142857143,0.09566929133858268,0.09642857142857143,0.094921875,0.09566929133858268,0.09455252918287937
MONTPELLIER EST,0.0,0.0,0.0,0.0,0.0,0.05714285714285715,0.06923076923076923,0.07230769230769231,0.08,0.09130434782608696,0.08854166666666667,0.09464285714285714,0.09349593495934959,0.10275862068965518,0.09559748427672955,0.09771428571428573,0.10217391304347827,0.09152542372881356,0.10137931034482758,0.0967948717948718,0.09942196531791907,0.09786096256684493,0.09620853080568721,0.09318181818181819,0.0912863070539419,0.0944223107569721,0.09404761904761905,0.09549549549549549,0.10042372881355932,0.10253164556962026,0.10167364016736402,0.1008298755186722,0.1,0.09878048780487805,0.09838056680161944,0.09798387096774194,0.09720000000000001
MONTPELLIER SUD,0.0,0.0,0.0,0.0,0.0,0.06956521739130435,0.07659574468085106,0.07704918032786885,0.08615384615384615,0.09655172413793103,0.09340659340659341,0.09906542056074766,0.09745762711864407,0.10642857142857143,0.09806451612903225,0.1,0.10502793296089385,0.09391304347826088,0.10352112676056338,0.0993421052631579,0.10117647058823528,0.1,0.09806763285024155,0.09534883720930233,0.09322033898305085,0.09634146341463415,0.09518072289156626,0.09769585253456221,0.10259740259740259,0.10474137931034483,0.10384615384615385,0.10296610169491525,0.10210084033613445,0.10041322314049587,0.10041322314049587,0.09918367346938776,0.09878048780487805
MONTPELLIER OUEST,0.0,0.0,0.0,0.0,0.0,0.05925925925925926,0.0782608695652174,0.0810344827586207,0.08115942028985507,0.09230769230769231,0.08947368421052632,0.09549549549549549,0.0942622950819672,0.10347222222222223,0.09999999999999999,0.09827586206896552,0.10273224043715848,0.0972972972972973,0.10652173913043478,0.10202702702702703,0.1036144578313253,0.10166666666666667,0.1,0.09360730593607305,0.09166666666666666,0.09634146341463415,0.09673469387755101,0.0986046511627907,0.10349344978165939,0.10565217391304348,0.10474137931034483,0.10167364016736402,0.1008298755186722,0.10167364016736402,0.10041322314049587,0.1008298755186722,0.1
ST JEAN DE VEDAS,0.0,0.0,0.0,0.0,0.0,0.08421052631578947,0.08372093023255814,0.08545454545454546,0.09180327868852459,0.10120481927710843,0.09883720930232558,0.10392156862745097,0.10087719298245613,0.10955882352941176,0.10201342281879194,0.1030120481927711,0.10742857142857143,0.1,0.10888888888888888,0.10413793103448275,0.10552147239263804,0.10338983050847458,0.1009950248756219,0.0971563981042654,0.09482758620689655,0.09793388429752066,0.09793388429752066,0.09999999999999999,0.10486725663716814,0.10704845814977974,0.10565217391304348,0.10474137931034483,0.10384615384615385,0.10296610169491525,0.10253164556962026,0.10210084033613445,0.10125
SETE,0.027586206896551727,0.05714285714285715,0.06956521739130435,0.05925925925925926,0.08421052631578947,0.0,0.07307692307692307,0.0846153846153846,0.08181818181818182,0.08484848484848484,0.08260869565217392,0.1,0.09381443298969072,0.1,0.09179104477611941,0.10067114093959731,0.10253164556962024,0.09347826086956522,0.1,0.09692307692307692,0.10337837837837838,0.09813664596273293,0.1,0.09948453608247423,0.09302325581395349,0.092,0.09118942731277532,0.09795918367346938,0.10143540669856459,0.1033175355450237,0.10234741784037558,0.10139534883720931,0.10046082949308756,0.09909090909090909,0.09909090909090909,0.09775784753363229,0.09688888888888889
AGDE,0.060000000000000005,0.06923076923076923,0.07659574468085106,0.0782608695652174,0.08372093023255814,0.07307692307692307,0.0,0.0625,0.07777777777777778,0.08249999999999999,0.07727272727272727,0.095,0.09436619718309859,0.10215053763440861,0.0898148148148148,0.0983739837398374,0.10454545454545455,0.08108108108108109,0.09895833333333333,0.09811320754716982,0.08533333333333334,0.09927536231884057,0.08983050847457627,0.09702380952380953,0.09735449735449735,0.0934673366834171,0.09029126213592234,0.09882352941176471,0.10273224043715848,0.10486486486486486,0.10374331550802138,0.10264550264550264,0.10157068062827225,0.09897959183673469,0.09948717948717949,0.09651741293532337,0.09748743718592964
BEZIERS CABRIALS (SORTIE),0.06619718309859156,0.07230769230769231,0.07704918032786885,0.0810344827586207,0.08545454545454546,0.0846153846153846,0.0625,0.0,0.0875,0.09000000000000001,0.08484848484848484,0.08367346938775509,0.09672131147540984,0.1108433734939759,0.09489795918367348,0.10442477876106196,0.11065573770491803,0.06833333333333333,0.0941860465116279,0.09578947368421052,0.09310344827586207,0.09453125,0.09215686274509803,0.0949367088607595,0.09441340782122905,0.09312169312169313,0.0907216494845361,0.090625,0.09884393063583816,0.10114285714285715,0.09999999999999999,0.0988826815642458,0.09779005524861878,0.09516129032258064,0.09619565217391304,0.09267015706806282,0.09414893617021276
BEZIERS OUEST,0.05544554455445544,0.08,0.08615384615384615,0.08115942028985507,0.09180327868852459,0.08181818181818182,0.07777777777777778,0.0875,0.0,0.09090909090909091,0.084,0.08571428571428572,0.07735849056603773,0.10266666666666667,0.09333333333333334,0.0980952380952381,0.10350877192982456,0.060714285714285714,0.09487179487179488,0.09310344827586206,0.08130081300813008,0.0925,0.08427672955974844,0.092,0.09239766081871345,0.09171270718232045,0.08829787234042553,0.09276315789473684,0.09878787878787879,0.10119760479041916,0.09999999999999999,0.09883040935672514,0.0976878612716763,0.09494382022471909,0.09548022598870055,0.09234972677595628,0.09337016574585634
NARBONNE EST,0.07924528301886793,0.09130434782608696,0.09655172413793103,0.09230769230769231,0.10120481927710843,0.08484848484848484,0.08249999999999999,0.09000000000000001,0.09090909090909091,0.0,0.1,0.095,0.08387096774193549,0.09433962264150944,0.08970588235294118,0.10476190476190476,0.10434782608695652,0.07058823529411765,0.09642857142857143,0.09393939393939395,0.09166666666666667,0.10408163265306122,0.08955223880597014,0.09765625,0.09731543624161074,0.09371069182389938,0.08975903614457832,0.10076923076923076,0.10347222222222223,0.10689655172413794,0.1054421768707483,0.1040268456375839,0.10264900662251655,0.09935897435897435,0.1,0.09627329192546584,0.09748427672955975
